1-CA2a,31.6
1-CH2a,27.5
1-Ea,27.2
1-PA2a,26.8
1-PH1a,22.6
2-CA2a,24.1
2-CH1b,22.3
2-Ea,24.4
2-PA1a,27.5
2-PH2a,26.4
3-CA1b,23
3-CH2a,21.9
3-Eb,32.7
3-PA1a,32.1
3-PH1a,29.7
4-CA1a,28.1
4-CH1a,23.5
4-Ea,24.7
4-PA2a,25.2
4-PH1b,23.7
