"Run ID","Assay Name","Test Name","Test Date","Qubit® tube conc.","Units","Original sample conc.","Units","Sample Volume (µL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135129","2023/05/03 13:51:29","0.515","µg/mL","103","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"2349.80"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135118","2023/05/03 13:51:18","0.187","µg/mL","37.4","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"1168.68"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135108","2023/05/03 13:51:08","0.219","µg/mL","43.8","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"1280.35"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135057","2023/05/03 13:50:57","0.484","µg/mL","96.8","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"2237.50"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135048","2023/05/03 13:50:48","0.510","µg/mL","102","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"2331.78"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135037","2023/05/03 13:50:37","0.184","µg/mL","36.8","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"1160.15"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135026","2023/05/03 13:50:26","0.215","µg/mL","43.0","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"1265.38"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135018","2023/05/03 13:50:18","0.482","µg/mL","96.4","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"2227.42"
"2023-05-03_134834","RNA Broad range","Sample_#230503-135007","2023/05/03 13:50:07","0.509","µg/mL","102","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"2328.93"
"2023-05-03_134834","RNA Broad range","Sample_#230503-134956","2023/05/03 13:49:56","0.185","µg/mL","37.0","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"1161.11"
"2023-05-03_134834","RNA Broad range","Sample_#230503-134938","2023/05/03 13:49:38","0.217","µg/mL","43.4","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"1273.30"
"2023-05-03_134834","RNA Broad range","Sample_#230503-134923","2023/05/03 13:49:23","0.486","µg/mL","97.2","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"2243.21"
"2023-05-03_134834","RNA Broad range","Sample_#230503-134916","2023/05/03 13:49:16","Out of range","µg/mL","Out of range","ng/µL","1","200","578.31","17680.05",,"Red","Far Red",,"18.21"
